ISR_M_d,ISR_frequency,ISR_sine_r[0],ISR_sine_r[1],ISR_sine_r[2],Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19
1,1,0.823710799,-0.902900636,0.0791898519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.823888838,-0.902765512,0.0788766742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.824066877,-0.902630389,0.078563489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.824244797,-0.902495086,0.0782502964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.824422657,-0.902359724,0.0779371038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.824600399,-0.902224302,0.0776238963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.82477808,-0.902088761,0.0773106739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.824955702,-0.901953161,0.0769974515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.825133204,-0.901817441,0.0766842216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.825310647,-0.901681662,0.0763709843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.825488031,-0.901545763,0.0760577396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.825665295,-0.901409805,0.0757444873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.8258425,-0.901273727,0.0754312277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.826019585,-0.90113759,0.0751179606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.826196611,-0.901001334,0.074804686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.826373577,-0.900864959,0.074491404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.826550484,-0.900728583,0.0741781145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.826727271,-0.900592029,0.0738648102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.826903939,-0.900455475,0.0735515058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.827080548,-0.900318742,0.073238194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.827257097,-0.900182009,0.0729248747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.827433586,-0.900045156,0.072611548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.827609956,-0.899908185,0.0722982213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.827786267,-0.899771154,0.0719848797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.827962458,-0.899634004,0.0716715306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.82813859,-0.899496794,0.0713581741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.828314662,-0.899359465,0.0710448101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.828490615,-0.899222076,0.0707314461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.828666508,-0.899084568,0.0704180673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.828842342,-0.898947001,0.0701046884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
